  41   38   50   58   35   33   23   42   34   42   45   31   75   20   31   51   32   25   31   40   43   39   43   46   81   37   48   50   36   44   69   49   59  106   63   26   36   24   68   41  167   71   57  239 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010
  50   33   31   26   58   32   38   32   44   54   36   26   41   31   59   39   70   41   35   37   44   65   33   80   38   34   75   59   41   30   57   55   37   88   79   66   43   45   27   31   48   23   45   54   85   84  102  259  257  267 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010
  33   26   27   21   34   43   40   33   27   32   32   34   27   39   32   38   27   50   56   24   36   19   36   36   36   33   25   39   32   68   60   47   33   41   45   34   23   25   42   30   52   30   29   35   56   43   43   27   31   34   32   23   60   26   37   56   60   75   41   31   33   94   87   41   45   25   29   23   66   94   38   32   61   37   31   31  110   31  135   32  249 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010
  34   29   28   33   40   40   30   30   39   48   29   68   40   23   55   48   49   43   35   31   35   70   36   39   68   32   42   93   47   33   24   30   70   26   40   26   27   20   31   29   29   23   37  105   65   37   59   78   67   79   70  128  144   33  143   58 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010
  49   46   33   56   54   38   31   38   32   34   27   44   27   49   29   42   28   32   32   34   31   29   49   31   36   41   32   24   40   34   30   51   31   39   34   27   30   51   47   35   43   31   27   34   24   42   34   51   36   49   65   47   44   33   29   34   45   23   86   74   31   35   38   50   31   35   26   48   40   51   33   31   36   37   51   24   43   53   42   59   62   33   25   51   65  103   98   99   45   61  101   75  104  143  131 1010 1010 1010 1010 1010
  30   27   41   57   23   28   27   42   57   56   74   51   48   89   35   40   41   33   67   40   32   40   53   30   23  130   35  112   26   81  113   65  142   69 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010
  27   27   31   53   34   24   23   25   58   23   24   32   29   38   40   62   30   34   31   40   26   39   46   44   88   27   58   37   23   46   58   44   30   35   23   50   46   31   34   73   53   42   74   50   38   51   36   49   30   39   47   49   62   44   54   72   66   30   29   50   74   57   70  112   74 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010
  41   43   32   32   32   31   38   41   24   32   40   21   43   20   24   28   37   41   37   35   38   29   31   36   25   25   45   67   33   43   33   32   27   34   46   46   36   22   59   30   37   35   45   74   28   53   26   34   45   45   40   50   42   44   26   29   43   43   29   33   40   37   43   31   57   56   40   25   32   30   21   39   38   73   46   26   49   33   64   52   73   30   34   74   84   82   25  142 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010
  27   46   36   53   63   53   55   37   42   29   59   28   32   31   30   28   29   39   30   27   30   37   28   60   68   70   44   30   34   36   58   32   52   39   52  130   42   92   57   35  127   79   34   36  125 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010
  49   50   33   41   24   33   31   26   40   29   29   53   40   57   35   51   75   54   41   37   34   41   39   39   32   54   66   37   35   19   31   25   46   45   36   29   45   26   31   75   28   47   38   41   41   28   41   38   31   35   60   32   51   42   51   67   50   34   58  205  217   93  211 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010
